45 Years,UK,896,Curzon/Artificial Eye,10,2
Amy,UK,800,Altitude,18,2
Ant-Man,UK/USA,409,Disney,16,3
Bill,UK,1177,Vertigo,7,14
Billy Budd - Glyndebourne 2010 (Opera),UK,660,Picture House Entertainment,116,1
Black Souls,Ita/Fra,1934,Vertigo,1,4
Bound To Vengeance,USA,86,Content Media Corporation,1,1
Brand: A Second Coming,UK,224,Metrodome,2,2
Cinderella,UK/USA,194,Disney,32,1
Crimson Peak,USA,153312,UNIVERSAL,3,274
Do I Sound Gay?,USA,2078,Kaleidoscope,1,6
Everest,UK/USA/Ice,19916,Universal,7,43
Fresh Dressed,USA/Fra,3481,Dogwoof,1,7
Hamlet - NT Live 2015 (Theatre),UK,19029,National Theatre/ Picture House Entertainment,4,13
Henry V - RSC Live 2015 (Theatre),UK,1455,Picture House Entertainment,3,1
Hotel Transylvania 2,USA,2417940,SONY,3,589
I Believe in Miracles,UK,1454,National Amusements UK,4,2
Inside Out,USA,156456,DISNEY,15,370
Legend,UK,59351,STUDIOCANAL,8,86
Listen to Me Marlon,UK,2269,Picture House Entertainment,2,6
Macbeth,UK/Fra/USA,31579,StudioCanal,5,47
Make More Noise! Suffragettes in Silent Film,UK,1394,BFI,2,5
Maya The Bee,Aus/Ger,46717,PRIMAL,2,188
Minions,USA,97826,UNIVERSAL,19,272
Miss You Already,UK/USA,1623,eOne Films,6,5
Nina Forever,UK,112,StudioCanal,10,1
Outcast,Can/CHN/USA,537,Munro Film,1,13
Palio,UK/Ita,1056,Altitude,6,3
Pan,UK/USA/Aus,790332,WARNER,3,501
Paranormal Activity: Ghost Dimension 3D,USA,704814,PARAMOUNT,2,413
Sicario,USA,101716,LIONSGATE,4,194
SPECTRE,UK/USA,41299090,SONY,1,651
Suffragette,UK,594930,20TH FOX,3,441
Tannhauser - Met Opera 2015 (Opera),USA,162876,BY EXP,1,162
Taxi Tehran,Iran,27890,New Wave,1,18
The Last Witch Hunter,USA,388484,eONE,2,369
The Lobster,UK,108509,ELEMENT/PICT.,3,59
The Martian,USA,590743,20TH FOX,5,448
The Program,UK/Fra,8209,StudioCanal,3,20
The Shining (Re: 2012),UK/USA,5734,BFI,157,5
The Vatican Tapes,USA,130,Signature Entertainment,1,7
Theeb,UK/Jordan,12,New Wave,12,1
They Will Have to Kill Us First,UK,498,Together Films,2,2
Thomas & Friends: Sodor's Legend of the Lost Treasure,UK,179,National Amusements UK,16,3
Under Milk Wood,UK,2123,Metrodome,1,1
