Project Name/Ttile,Current State of Project,Project Description,Construction Firm Selection,Design Firm Selected,Budget,Spent,Budget Color Indicator,Schedule Color Indicator,Description of Schedule,External Link
HAYNES BRIDGE ROAD CAPACITY IMPROVEMENTS,Design,"The Haynes Bridge Corridor is an important collector connecting neighborhoods to the south with schools, GA 400, employment and commercial centers. This project widens Haynes Bridge Road from Mansell Road to Old Alabama Road and will entail a partnership with the City of Johns Creek with Johns Creek having lead role. Proposed improvements consist of adding an additional lane in each direction, landscaping medians, adding turn lanes where appropriate, and adding a multi-use trail to connect to the Big Creek Greenway.",,Lowe Engineers,69303,59075,Green,Green,Project is on schedule,http://alpharetta.maps.arcgis.com/apps/MapJournal/index.html?appid=c2930590bb57457b908c8d9ec82caba0&section=38
MCGINNIS FERRY ROAD CAPACITY IMPROVEMENTS,Land,"The proposed project would widen McGinnis Ferry Road from Sargent Road to Union Hill Road/Ronald Reagan Boulevard - a distance of approximately 4.58 miles. The proposed design includes two lanes in each direction with a 20-foot wide raised median, a 16 foot wide urban shoulder along the north with a 10-foot wide multi-use path and a 12-foot wide urban shoulder along the south with a 6-foot wide sidewalk. Stage construction and traffic control devices will be utilized to maintain traffic during construction and may require temporary lane closures. Forsyth County is overseeing the design of the widening project with the Georgia Department of Transportation (GDOT), the City of John''s Creek and the City of Alpharetta providing review and comments on the design.",,Atlas,8943701,4110043,Green,Green,Project is on schedule,https://www.forsythco.com/News/on-the-move-get-the-latest-updates-on-the-mcginnis-ferry-rd-interchange-widening
BETHANY ROAD AT MAYFIELD ROAD INTERSECTION IMPROVEMENTS,Completed,"This project involves intersection operational improvements incorporating a roundabout at the intersection of Bethany Road and Mayfield Road. The design of this project was awarded to Tetra Tech, Inc. in the amount of $127,670 by City Council on December 12, 2016. The conceptual design for this project was presented to City Council on June 5, 2017. As the acquisition of right of way progressed, it became necessary to revise the eastern leg of the roundabout. Change Order #1 was issued on April 2, 2018 which increased the design cost by $9,950 to $137,620. Final plans were delivered to the City on June 22, 2018. City Council awarded this project on November 5, 2018 to CMES. City Council also awarded the construction project management, inspection, and engineering to Atkins North America, Inc. Notice to proceed with construction was issued for July 24, 2019. Construction was delayed due to weather and utility relocations. Construction is complete and contractor has completed punchlist items related to sod and pavement markings. ","CMES, Inc.","Tetra Tech, Inc.",2258335,2256294,Green,Red,Project is over 90 days behind schedule,http://alpharetta.maps.arcgis.com/apps/MapJournal/index.html?appid=c2930590bb57457b908c8d9ec82caba0&section=38
MORRIS ROAD OPERATIONAL IMPROVEMENTS,Completed,"This project provides the appropriate auxiliary lanes to accommodate the heavy traffic flow from both Old Milton Parkway and Webb Bridge Road, as well as pedestrian and bicycle accommodations. The volume of traffic along Morris Road between Old Milton Parkway and Webb Bridge Road has made turning movements difficult and backed-up traffic during peak times.","Vertical Earth, Inc.",Pond & Company,3215476,3215476,Green,Red,Project is over 90 days behind schedule,http://alpharetta.maps.arcgis.com/apps/MapJournal/index.html?appid=c2930590bb57457b908c8d9ec82caba0&section=38
OLD MILTON PARKWAY CAPACITY IMPROVEMENTS,Design,This Project consists of widening Old Milton Parkway (SR 120) between GA 400 and State Bridge Road to provide a 6-lane divided section. The city is working with GDOT to expedite the project using mostly state and local funds.,,AECOM,5579474,1482208,Green,Green,Project is on schedule,http://alpharetta.maps.arcgis.com/apps/MapJournal/index.html?appid=c2930590bb57457b908c8d9ec82caba0&section=38
BETHANY ROAD AT MID-BROADWELL ROAD INTERSECTION IMPROVEMENTS,Completed,"This project involves intersection operational improvements incorporating a roundabout at the intersection of Bethany Road and Mid Broadwell Road. The City has received numerous complaints regarding left turns onto Mid Broadwell Road from motorists traveling south on Bethany Road and from residents of Pindell Glen Subdivision trying to leave their subdivision. Residents have complained about the speed of vehicles on Mid Broadwell Road and have requested a reduction of the speed limit or the installation of a traffic signal or four-way stop. As these options do not meet warrants, a roundabout is proposed to reduce speeds in the area and assist in left-turn movements. The preliminary cost estimate for this project was $1.28 million with funding provided through T-SPLOST (transportation special purpose local option sales tax). The design of this project was awarded to Tetra Tech, Inc. in the amount of $131,170 by City Council on December 12, 2016. The conceptual design for this project was presented to City Council on June 5, 2017.","CMES, Inc.","Tetra Tech, Inc.",1368453,1368302,Green,Red,Project is over 90 days behind schedule,http://alpharetta.maps.arcgis.com/apps/MapJournal/index.html?appid=c2930590bb57457b908c8d9ec82caba0&section=38
KIMBALL BRIDGE ROAD BICYCLE/PEDESTRIAN/OPERATIONAL IMPROVEMENTS,Concept,"This project involves pedestrian, bike, and operational improvements along Kimball Bridge Road between Westside Parkway and North Point Parkway connecting residential neighborhoods to Downtown Alpharetta, Avalon, schools, and parks.",,AECOM,1359742,1077773,Green,Green,Project is on schedule,http://alpharetta.maps.arcgis.com/apps/MapJournal/index.html?appid=c2930590bb57457b908c8d9ec82caba0&section=38
WINDWARD PARKWAY WESTBOUND WIDENING - NORTH POINT PARKWAY TO GEORGIA 400,Completed,"This is one of two projects which evolved from the conceptual design work comprising the ""Windward Parkway Business District/Union Hill Road Capacity Improvements - TSPLOST Project"". The project limits are from North Point Parkway to the northbound Georgia 400 on-ramp. Improvements will include: (1) The installation of a third travel lane from North Point Parkway to the northbound Georgia 400 on-ramp. All travel lanes will be 11'' wide. (2) The installation of a 4'' bike lane. (3) The installation of a 6'' wide sidewalk. (4) The lengthening of the existing dual left-turn lanes from westbound Windward Parkway to southbound North Point Parkway. The typical section will seek to match that of the ""Windward Parkway Triple Left-Turn Lane at Georgia 400 Interchange"" project. On Monday, May 6, 2019 design of the project was awarded to Tetra Tech, Inc. in the amount of $210,500.00. Bids were received on Thursday, May 14, 2020. The project was awarded to Sol Construction, LLC by City Council on Monday, June 15, 2020.",Sol Construction LLC,"Tetra Tech, Inc.",1302037,1182286,Green,Green,Project is on schedule,http://alpharetta.maps.arcgis.com/apps/MapJournal/index.html?appid=c2930590bb57457b908c8d9ec82caba0&section=38
WINDWARD PARKWAY EASTBOUND WIDENING - WESTSIDE PARKWAY TO NORTH POINT PARKWAY,Construction,"This is one of two projects which evolved from the conceptual design work comprising the ""Windward Parkway Business District/Union Hill Road Capacity Improvements - TSPLOST Project"". The project limits are from Westside Parkway to North Point Parkway. Improvements will include: (1) The installation of a third travel lane from Westside Parkway to the southbound Georgia 400 on-ramp. All travel lanes will be 11'' wide. (2) The installation of a 4'' bike lane. (3) The installation of a 6'' wide sidewalk. The typical section will seek to match that of the ""Windward Parkway Triple Left-Turn Lane at Georgia 400 Interchange"" project. On Monday, May 6, 2019 design of the project was awarded to Tetra Tech, Inc. in the amount of $302,830.00. Design is complete. Bids were received on Thursday, May 14, 2020. Project was awarded to Sol Construction, LLC by City Council on Monday, June 15, 2020. The Notice to Proceed was issued August 8, 2020 and the project duration is anticipated to be 365 days.",Sol Construction LLC,"Tetra Tech, Inc.",1639117,1275417,Green,Yellow,Project up to 90 days behind schedule,http://alpharetta.maps.arcgis.com/apps/MapJournal/index.html?appid=c2930590bb57457b908c8d9ec82caba0&section=38
WEBB BRIDGE ROAD BIKE/PED/OPERATIONAL IMPROVEMENTS,Design,"This is one of two projects which evolved from the conceptual design work and community meetings comprising the ""Academy Street/Webb Bridge Road: Bike/Ped/Operational Improvements - TSPLOST Project"". The project limits are from the Big Creek Greenway crossing to Webb Bridge Way. Improvements include: (1) The installation of 8'' wide sidewalks along both sides of Webb Bridge Road. (2) The installation of 4'' bike lanes in both directions of travel along Webb Bridge Road. (3) A 3'' wide ""beauty"" strip will be provided on each side of Webb Bridge Road between the sidewalk and curb line. 5''x5'' tree wells/grates will be incorporated into this area and adjacent sidewalk. (4) The evaluation of a single-lane roundabout with slip lanes at the intersection with Southlake Drive / Park Bridge Park way. (5) The installation of a single-lane roundabout at the intersection with Webb Bridge Way. (6) The installation of pedestrian lighting along both sides of Webb Bridge Road and roadway lighting at the roundabouts.",,Pond & Company,875796,814855,Green,Green,Project is on schedule,http://alpharetta.maps.arcgis.com/apps/MapJournal/index.html?appid=c2930590bb57457b908c8d9ec82caba0&section=38
